entry_id,BlockId,log_key,exec_flow,log_segment,single_log_label,block_log_label
25,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[DEBUG]:Condition traceScope != null evaluated as false,normal,normal
26,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[INFO]:Block replacement operation completed successfully,normal,normal
27,7dc47aa3_1,7dc47aa3_1,ENTRY→TRY→CALL:copyBlock→ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT→IF_TRUE→CALL:traceScope.close→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:copyBlock→ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT→IF_FALSE→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
28,7dc47aa3_1,7dc47aa3_1,ENTRY→TRY→CALL:copyBlock→ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT→IF_TRUE→CALL:traceScope.close→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:copyBlock→ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT→IF_FALSE→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
29,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[INFO]:Operation started for block checksum,normal,normal
30,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[DEBUG]:Attempting block checksum calculation,normal,normal
31,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[DEBUG]:Invoked blockChecksum method,normal,normal
32,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,"[DEBUG]:traceScope is not null, proceeding",normal,normal
33,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[INFO]:Trace scope entry,normal,normal
34,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,"[DEBUG]:span is not null, closing trace scope",normal,normal
35,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[DEBUG]:Invoked close method,normal,normal
36,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[INFO]:Trace scope exit,normal,normal
37,cdc25fc2_1,cdc25fc2_1,ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_TRUE→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_FALSE→EXIT%%ENTRY→TRY→CALL:blockChecksum→IF_TRUE→ENTRY→IF_FALSE→EXIT→EXIT,[INFO]:Operation completed for block checksum,normal,normal
38,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Continuing trace span with header and client name,normal,normal
39,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Fetching span context for trace,normal,normal
40,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Retrieving trace information,normal,normal
41,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Trace span processing completed,normal,normal
42,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Exiting trace span continuation,normal,normal
43,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Closing trace scope,normal,normal
44,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Checking if span is not null,normal,normal
45,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Closing active span,normal,normal
46,db4b799d_1,db4b799d_1,ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan%%ENTRY→TRY→CALL:blockGroupChecksum→ENTRY→CALL:continueTraceSpan→IF_FALSE:traceScope != null,[INFO]:Exiting trace scope closure,normal,normal
47,aec814f0_1,aec814f0_1,ENTRY→TRY→CALL:transferBlock→IF_TRUE→CALL:traceScope.close→ConditionCheck%%ENTRY→TRY→CALL:transferBlock→IF_TRUE→CALL:traceScope.close→OtherBranch,[INFO]:Transfer block operation started,normal,normal
48,aec814f0_1,aec814f0_1,ENTRY→TRY→CALL:transferBlock→IF_TRUE→CALL:traceScope.close→ConditionCheck%%ENTRY→TRY→CALL:transferBlock→IF_TRUE→CALL:traceScope.close→OtherBranch,[DEBUG]:TraceScope closed,normal,normal
49,b17d6335_1,b17d6335_1,ENTRY→TRY→requestShortCircuitFds→IF_TRUE→traceScope.close→IF_TRUE→close%%ENTRY→TRY→requestShortCircuitFds→IF_FALSE,[DEBUG]:traceScope != null,normal,normal
50,b17d6335_1,b17d6335_1,ENTRY→TRY→requestShortCircuitFds→IF_TRUE→traceScope.close→IF_TRUE→close%%ENTRY→TRY→requestShortCircuitFds→IF_FALSE,[INFO]:continueTraceSpan,normal,normal
51,b17d6335_1,b17d6335_1,ENTRY→TRY→requestShortCircuitFds→IF_TRUE→traceScope.close→IF_TRUE→close%%ENTRY→TRY→requestShortCircuitFds→IF_FALSE,[DEBUG]:traceScope == null,normal,normal
52,92fab4ed_1,92fab4ed_1,ENTRY→CALL→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
53,92fab4ed_1,92fab4ed_1,ENTRY→CALL→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
54,17565125_1,17565125_1,ENTRY→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
55,17565125_1,17565125_1,ENTRY→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
56,f1398c33_1,f1398c33_1,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
57,f1398c33_1,f1398c33_1,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
58,6177c713_1,6177c713_1,ENTRY→TRY→releaseShortCircuitFds→ConditionCheck%%ENTRY→TRY→releaseShortCircuitFds→OtherBranch,[INFO]:Released short-circuit file descriptors,normal,normal
59,6177c713_2,6177c713_2,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Closed tracing scope,normal,normal
60,9356f976_1,9356f976_1,ENTRY→CALL→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
61,9356f976_1,9356f976_1,ENTRY→CALL→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
62,adcf825f_1,adcf825f_1,ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→ConditionCheck%%ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→OtherBranch,[DEBUG]:traceScope != null,normal,normal
63,adcf825f_1,adcf825f_1,ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→ConditionCheck%%ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→OtherBranch,[DEBUG]:traceScope == null,normal,normal
64,adcf825f_1,adcf825f_1,ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→ConditionCheck%%ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→OtherBranch,[INFO]:Default instance returned,normal,normal
65,adcf825f_1,adcf825f_1,ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→ConditionCheck%%ENTRY→TRY→requestShortCircuitShm→ENTRY→getDefaultInstance→RETURN→EXIT→FINALLY→OtherBranch,[DEBUG]:span != null,normal,normal
66,887a26fd_1,887a26fd_1,ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_FALSE,[INFO]:Entry,normal,normal
67,887a26fd_1,887a26fd_1,ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_FALSE,[INFO]:Entry,normal,normal
68,887a26fd_1,887a26fd_1,ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_FALSE,[INFO]:Exit,normal,normal
69,887a26fd_1,887a26fd_1,ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:RELEASE_SHORT_CIRCUIT_FDS→CALL:opReleaseShortCircuitFds→ENTRY→TRY→CALL:releaseShortCircuitFds→IF_FALSE,[INFO]:Exit,normal,normal
70,887a26fd_2,887a26fd_2,ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_FALSE,[DEBUG]:traceScope != null,normal,normal
71,887a26fd_2,887a26fd_2,ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_FALSE,[INFO]:Default instance returned,normal,normal
72,887a26fd_2,887a26fd_2,ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_TRUE→CALL:traceScope.close%%ENTRY→SWITCH:op→CASE:REQUEST_SHORT_CIRCUIT_SHM→CALL:opRequestShortCircuitShm→ENTRY→TRY→CALL:requestShortCircuitShm→FINALLY→IF_FALSE,[DEBUG]:span != null,normal,normal
73,475c8eb2_1,475c8eb2_1,ENTRY→RegisteringStream,[TRACE]:Registering dfsInputStream for /user/data,normal,normal
74,475c8eb2_1,475c8eb2_1,ENTRY→RegisteringStream,[INFO]:Added dfsInputStream to registeredInputStreams,normal,normal
75,4297f10d_1,4297f10d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[TRACE]:Registering dfsInputStream for /user/data/input_stream,normal,normal
76,928645da_1,928645da_1,ENTRY→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
77,928645da_1,928645da_1,ENTRY→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
78,b3207a18_1,b3207a18_1,ENTRY→IF_TRUE:response!=null→TRY→CALL:close→EXCEPTION:close→CATCH:InterruptedException→LOG:ThreadInterrupted→CALL:ThreadInterrupt%%ENTRY→IF_TRUE:response!=null→TRY→CALL:close→CALL:join→EXCEPTION:join→CATCH:InterruptedException→LOG:ThreadInterrupted→CALL:ThreadInterrupt%%ENTRY→IF_TRUE:response!=null→TRY→CALL:close→CALL:join→EXIT%%ENTRY→IF_FALSE:response!=null→EXIT,[DEBUG]:Thread interrupted,explicit,explicit
79,88a78c78_1,88a78c78_1,ENTRY→ConditionCheck,[INFO]:Fetched 128MB block from namenode01,normal,explicit
80,88a78c78_1,88a78c78_1,ENTRY→ConditionCheck,[ERROR]:Access denied to path /user/test,explicit,explicit
81,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,[DEBUG]:Start process datanode/external error,normal,implicit
82,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,[INFO]:Error recovery for block waiting for responder to exit,normal,implicit
83,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,[WARN]:Error recovering pipeline for writing block. Already retried 5 times for the same packet,normal,implicit
84,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,[DEBUG]:Closing old block block-01,normal,implicit
85,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,"[DEBUG]:Nodes [node01, node02] storageTypes [DISK, SSD] storageIDs [id01, id02]",normal,implicit
86,ceb06c8d_1,ceb06c8d_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch%%ENTRY→PipelineRecovery%%ENTRY→PipelineClose%%ENTRY→PipelineInit%%ENTRY→SetupPipeline,[WARN]:Pipeline setup failed due to missing nodes,implicit,implicit
87,043f2a44_1,043f2a44_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
88,043f2a44_1,043f2a44_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
89,bdea6dc9_1,bdea6dc9_1,ENTRY→RETURN→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
90,bdea6dc9_1,bdea6dc9_1,ENTRY→RETURN→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
91,52166f8a_1,52166f8a_1,ENTRY→SYNC:congestedNodes→IF_TRUE:!congestedNodes.isEmpty()→IF_TRUE:t!=0→CALL:Thread.sleep→EXIT%%ENTRY→SYNC:congestedNodes→IF_TRUE:!congestedNodes.isEmpty()→IF_FALSE:t!=0→EXIT%%ENTRY→SYNC:congestedNodes→IF_FALSE:!congestedNodes.isEmpty()→IF_TRUE:t!=0→CALL:Thread.sleep→EXIT%%ENTRY→SYNC:congestedNodes→IF_FALSE:!congestedNodes.isEmpty()→IF_FALSE:t!=0→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
92,52166f8a_1,52166f8a_1,ENTRY→SYNC:congestedNodes→IF_TRUE:!congestedNodes.isEmpty()→IF_TRUE:t!=0→CALL:Thread.sleep→EXIT%%ENTRY→SYNC:congestedNodes→IF_TRUE:!congestedNodes.isEmpty()→IF_FALSE:t!=0→EXIT%%ENTRY→SYNC:congestedNodes→IF_FALSE:!congestedNodes.isEmpty()→IF_TRUE:t!=0→CALL:Thread.sleep→EXIT%%ENTRY→SYNC:congestedNodes→IF_FALSE:!congestedNodes.isEmpty()→IF_FALSE:t!=0→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
93,f87f7fa9_1,f87f7fa9_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
94,f87f7fa9_1,f87f7fa9_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
95,4cf8a980_1,4cf8a980_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched current monotonic time,normal,normal
96,2003f395_1,2003f395_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Nodes are empty for write pipeline of block-12345,normal,normal
97,2003f395_1,2003f395_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,"[DEBUG]:Pipeline = [node01, node02], DataStreamerInstance",normal,normal
98,2003f395_1,2003f395_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Resetting internal error state,normal,normal
99,2003f395_1,2003f395_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Waiting for restart condition,normal,normal
100,2003f395_1,2003f395_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Proceeding without wait,normal,normal
101,49a530e1_1,49a530e1_1,ENTRY→locateFollowingBlock→ConditionCheck%%ENTRY→createBlockOutputStream→PipelineCheck,[WARN]:Abandoning block block-12345,normal,normal
102,49a530e1_1,49a530e1_1,ENTRY→locateFollowingBlock→ConditionCheck%%ENTRY→createBlockOutputStream→PipelineCheck,[WARN]:Excluding datanode datanode-01,normal,normal
103,49a530e1_1,49a530e1_1,ENTRY→locateFollowingBlock→ConditionCheck%%ENTRY→createBlockOutputStream→PipelineCheck,[INFO]:Nodes are empty for write pipeline of block block-67890,normal,normal
104,49a530e1_1,49a530e1_1,ENTRY→locateFollowingBlock→ConditionCheck%%ENTRY→createBlockOutputStream→PipelineCheck,"[DEBUG]:Pipeline = [datanode-02, datanode-03], restartingNode",normal,normal
