LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
2,[INFO],Closing socket connection,b06a919f,Closing socket connection,[],cfc8639a_1
1,[DEBUG],Ignoring exception during selection key cancel,9f204976,Ignoring exception during selection key cancel,[],a1ca3a63_1
2,[DEBUG],Socket closed successfully,2b9c069b,Socket closed successfully,[],a1ca3a63_1
1,[ERROR],Error cancelling command selection key,6fb4dc3d,Error cancelling command selection key,[],d1147373_1
2,[DEBUG],"Command ""trace"" is not executed because it is not in the whitelist",3f492019,Command <*> is not executed because it is not in the whitelist,"['""trace""']",d1147373_1
3,[INFO],"Processing ""trace"" command from /192.168.1.100:8080",12487043,Processing <*> command from /<*>.<*>.<*>.<*>:<*>,"['""trace""', '192', '168.1.100', '8080']",d1147373_1
4,[INFO],Set text trace mask to 0xFF,94eb13aa,Set text trace mask to <*>xFF,['0'],d1147373_1
5,[WARN],Trying to do I/O on a null socket for session: 0x123456789ABCDEF,3081887d,Trying to do I<*> on a null socket for session: <*>x<*>ABCDEF,"['/O', '0x123456789']",d1147373_1
6,[INFO],Socket error: Connection reset by peer,6b318d6f,Socket error: Connection reset by peer,[],d1147373_1
7,[DEBUG],Ignoring exception during selection key cancel,9f204976,Ignoring exception during selection key cancel,[],d1147373_1
8,[DEBUG],Socket closed successfully,2b9c069b,Socket closed successfully,[],d1147373_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f017adf3_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f017adf3_1
1,[DEBUG],"Invalid name ""zookeeperBean"" for class org.apache.zookeeper.jmx.ZKMBeanInfo",9f15f2cf,Invalid name <*> for class org.apache.zookeeper.jmx.ZKMBeanInfo,"['""zookeeperBean""']",83e0e7fc_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",8d5fd05c_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],8d5fd05c_1
1,[INFO],Accessing mapBean2Path,2200aab2,Accessing mapBean<*>Path,['2'],290b45d8_1
2,[WARN],"Failed to register MBean ""exampleBean""",a6109f76,Failed to register MBean <*>,"['""exampleBean""']",290b45d8_1
3,[DEBUG],"Invalid name ""exampleBeanName"" for class ""org.apache.zookeeper.jmx.ZKMBeanInfo""",48809ea0,Invalid name <*> for class <*>,"['""exampleBeanName""', '""org.apache.zookeeper.jmx.ZKMBeanInfo""']",290b45d8_1
1,[INFO],Unregistered MBean from registry,1f819b56,Unregistered MBean from registry,[],771fc8a5_1
1,[WARN],Failed to unregister with JMX,b62126e3,Failed to unregister with JMX,[],a3d7f8a4_1
1,[DEBUG],Initializing leader election protocol...,d51c79d6,Initializing leader election protocol...,[],c4f5362c_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",7cf2c02e_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],7cf2c02e_1
1,[INFO],Accessing /mapBean2Path,e30328c8,Accessing <*><*>Path,['/mapBean2'],37b80475_1
2,[WARN],"Failed to register MBean ""bean-01""",a6109f76,Failed to register MBean <*>,"['""bean-01""']",37b80475_1
1,[INFO],Fetched last logged transaction ID 1024,3f6d6538,Fetched last logged transaction ID <*>,['1024'],6f1c930f_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],6f1c930f_1
1,[INFO],"New election. My id = 1, proposed zxid=0x100",b27194cc,"New election. My id = <*>, proposed zxid=<*>x<*>","['1', '0x100']",9a354659_1
2,[DEBUG],"Adding vote: from=2, proposed leader=3, proposed zxid=0x100, proposed election epoch=0x200",67dd74ae,"Adding vote: from=<*>, proposed leader=<*>, proposed zxid=<*>x<*>, proposed election epoch=<*>x<*>","['2', '3', '0x100', '0x200']",9a354659_1
3,[INFO],Notification time out: 5000 ms,8a31fc3a,Notification time out: <*> ms,['5000'],9a354659_1
4,[DEBUG],getLastLoggedZxid,07b40b32,getLastLoggedZxid,[],9a354659_1
1,[INFO],Accessing mapBean2Path,2200aab2,Accessing mapBean<*>Path,['2'],7d7faa25_1
2,[WARN],"Failed to register MBean ""ZooKeeperServerBean""",a6109f76,Failed to register MBean <*>,"['""ZooKeeperServerBean""']",7d7faa25_1
3,[DEBUG],"Invalid name ""InvalidBeanName"" for class ""org.apache.zookeeper.server.ZooKeeperServer""",48809ea0,Invalid name <*> for class <*>,"['""InvalidBeanName""', '""org.apache.zookeeper.server.ZooKeeperServer""']",7d7faa25_1
1,[INFO],"New election. My id = 1, proposed zxid=0x100",b27194cc,"New election. My id = <*>, proposed zxid=<*>x<*>","['1', '0x100']",a43bbe11_1
2,[DEBUG],"Adding vote: from=2, proposed leader=3, proposed zxid=0x100, proposed election epoch=0x1",67dd74ae,"Adding vote: from=<*>, proposed leader=<*>, proposed zxid=<*>x<*>, proposed election epoch=<*>x<*>","['2', '3', '0x100', '0x1']",a43bbe11_1
3,[INFO],Notification time out: 5000 ms,8a31fc3a,Notification time out: <*> ms,['5000'],a43bbe11_1
4,[DEBUG],getLastLoggedZxid,07b40b32,getLastLoggedZxid,[],a43bbe11_1
1,[INFO],Ping operation executed,fefd1bf9,Ping operation executed,[],0ef137db_1
1,[WARN],Ignoring proposal,da172c3b,Ignoring proposal,[],0ef137db_2
1,[ERROR],Received an UPTODATE message after Observer started,176089c7,Received an UPTODATE message after Observer started,[],0ef137db_3
1,[INFO],Learner commit received and processed,2c3d9458,Learner commit received and processed,[],0ef137db_4
1,[ERROR],Changes proposed in reconfig,65c5d400,Changes proposed in reconfig,[],0ef137db_5
1,[WARN],Unknown packet type: UnknownType,4b184fa9,Unknown packet type: UnknownType,[],0ef137db_6
1,[WARN],Exception when observing the leader,04a61618,Exception when observing the leader,[],eb7f58f3_1
2,[INFO],Disconnected from leader (with address: https://leader-node:2181). Was connected for 5000ms. Sync state: RECONFIGURED,19bd3784,Disconnected from leader (with address: https:<*>:<*>). Was connected for <*>ms. Sync state: RECONFIGURED,"['//leader-node:2181', '5000']",eb7f58f3_1
1,[WARN],Ignoring proposal,cce6fcca,Ignoring <*>,['proposal'],eb7f58f3_2
2,[WARN],Ignoring commit,cce6fcca,Ignoring <*>,['commit'],eb7f58f3_2
3,[ERROR],Received an UPTODATE message after Observer started,176089c7,Received an UPTODATE message after Observer started,[],eb7f58f3_2
4,[WARN],"Unknown packet type: INFORM, LearnerHandler.packetToString(qp)",884e59d9,"Unknown packet type: INFORM, LearnerHandler.packetToString(qp)",[],eb7f58f3_2
1,[INFO],Observer shutdown initiated,261b5a02,Observer shutdown initiated,[],d504b831_1
2,[INFO],Shutdown operation completed successfully,20afaaf4,Shutdown operation completed successfully,[],d504b831_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f9f11c2b_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f9f11c2b_1
1,[WARN],Got zxid 0x0 expected 0x1,468bee9d,Got zxid <*>x<*> expected <*>x<*>,"['0x0', '0x1']",5f8a114c_1
2,[INFO],Request logged,b10ddc41,Request logged,[],5f8a114c_1
3,[ERROR],Received an UPTODATE message after Follower started,2035b352,Received an UPTODATE message after Follower started,[],5f8a114c_1
4,[WARN],Unknown packet type: SYNC,3bd6bc25,Unknown packet type: SYNC,[],5f8a114c_1
1,[WARN],Got zxid 0x1 expected 0x2,468bee9d,Got zxid <*>x<*> expected <*>x<*>,"['0x1', '0x2']",fe9d88fb_1
2,[INFO],Request logged,b10ddc41,Request logged,[],fe9d88fb_1
3,[ERROR],Received an UPTODATE message after Follower started,2035b352,Received an UPTODATE message after Follower started,[],fe9d88fb_1
4,[WARN],Unknown packet type: UNKNOWN_PACKET_TYPE,b7c8c0a6,Unknown packet type: UNKNOWN_PACKET_TYPE,[],fe9d88fb_1
5,[INFO],FOLLOWING - LEADER ELECTION TOOK - 500ms ms,96ed693e,FOLLOWING - LEADER ELECTION TOOK - <*>ms ms,['500'],fe9d88fb_1
6,[INFO],Disconnected from leader (with address: https://leader-node:2181). Was connected for 3000ms. Sync state: COMPLETED,70e023c9,Disconnected from leader (with address: https:<*>:<*>). Was connected for <*>ms. Sync state: COMPLETED,"['//leader-node:2181', '3000']",fe9d88fb_1
1,[INFO],Shutdown Follower,b171c9f7,Shutdown Follower,[],bf2972a2_1
1,[INFO],Initialized buffer statistics for proposal tracking,4a5ec58b,Initialized buffer statistics for proposal tracking,[],03049d5e_1
2,[INFO],"Fetched quorum addresses: [""192.168.1.1:2181"", ""192.168.1.2:2181""]",eccf4bc0,Fetched quorum addresses: <*>,"['[""192.168.1.1:2181"", ""192.168.1.2:2181""]']",03049d5e_1
3,[INFO],Created server socket at address 192.168.1.1:2181 with SSL enabled,b1a23f05,Created server socket at address <*>.<*>.<*>.<*>:<*> with SSL enabled,"['192', '168.1.1', '2181']",03049d5e_1
4,[INFO],Created server socket at address 192.168.1.2:2181 with SSL enabled,b1a23f05,Created server socket at address <*>.<*>.<*>.<*>:<*> with SSL enabled,"['192', '168.1.2', '2181']",03049d5e_1
5,[ERROR],"Leader failed to initialize any of the following sockets: [""192.168.1.1:2181"", ""192.168.1.2:2181""]",d51680a7,Leader failed to initialize any of the following sockets: <*>,"['[""192.168.1.1:2181"", ""192.168.1.2:2181""]']",03049d5e_1
1,[DEBUG],Quorum address resolved to wildcard addresses,aa908556,Quorum address resolved to wildcard addresses,[],7e8fa7b0_1
2,[ERROR],IOException thrown due to empty server sockets,90f7eedc,IOException thrown due to empty server sockets,[],7e8fa7b0_1
1,[WARN],"Failed to register with JMX, exception occurred",760ca0ca,"Failed to register with JMX, exception occurred",[],f132ecbd_1
2,[WARN],"Failed to register MBean ""LeaderElectionBean""",a6109f76,Failed to register MBean <*>,"['""LeaderElectionBean""']",f132ecbd_1
1,[INFO],Unregistered MBean from registry,1f819b56,Unregistered MBean from registry,[],718b1ec7_1
1,[WARN],Failed to unregister with JMX,b62126e3,Failed to unregister with JMX,[],f88a8532_1
2,[WARN],"Failed to register with JMX, exception occurred",760ca0ca,"Failed to register with JMX, exception occurred",[],f88a8532_1
3,[WARN],"Failed to register MBean ""LeaderElectionBean""",a6109f76,Failed to register MBean <*>,"['""LeaderElectionBean""']",f88a8532_1
1,[INFO],LEADING - LEADER ELECTION TOOK - 500ms milliseconds,9cdf0c19,LEADING - LEADER ELECTION TOOK - <*>ms milliseconds,['500'],f88a8532_2
2,[DEBUG],"Set lastSeenQuorumVerifier to currentQuorumVerifier (""QuorumVerifierData"")",5ad374ba,Set lastSeenQuorumVerifier to currentQuorumVerifier (<*>),"['""QuorumVerifierData""']",f88a8532_2
3,[INFO],"NEWLEADER proposal has Zxid of ""0x12345abc""",edb98c4e,NEWLEADER proposal has Zxid of <*>,"['""0x12345abc""']",f88a8532_2
1,[INFO],Shutting down,6a7eb108,Shutting down,[],f88a8532_3
2,[INFO],"Shutdown called. For the reason ""Maintenance"", reason",952a35f5,"Shutdown called. For the reason <*>, reason","['""Maintenance""']",f88a8532_3
1,[WARN],Ignoring unexpected exception,b9566af4,Ignoring unexpected exception,[],031f8582_1
2,[INFO],Socket closed successfully,2b9c069b,Socket closed successfully,[],031f8582_1
3,[INFO],Thread interrupted,2ab078e1,Thread interrupted,[],031f8582_1
4,[INFO],Removed learner handler from master,c0a27b54,Removed learner handler from master,[],031f8582_1
5,[INFO],Unregistered learner handler bean,9333f24d,Unregistered learner handler bean,[],031f8582_1
1,[INFO],Shutting down,6a7eb108,Shutting down,[],5ce38c16_1
2,[INFO],"Shutdown called. For the reason ""maintenance"", reason",952a35f5,"Shutdown called. For the reason <*>, reason","['""maintenance""']",5ce38c16_1
3,[WARN],"Ignoring unexpected exception, connection error",a7247214,"Ignoring unexpected exception, connection error",[],5ce38c16_1
1,[DEBUG],"Unregister MBean ""mbean_01"", objName",233b375a,"Unregister MBean <*>, objName","['""mbean_01""']",e7589eef_1
2,[DEBUG],"Invalid name ""testBean"" for class org.apache.zookeeper.jmx.ZKMBeanInfo",9f15f2cf,Invalid name <*> for class org.apache.zookeeper.jmx.ZKMBeanInfo,"['""testBean""']",e7589eef_1
1,[DEBUG],"Unregister MBean [MBeanObjectName], objName",233b375a,"Unregister MBean <*>, objName",['[MBeanObjectName]'],a20ba4b9_1
2,[DEBUG],"Invalid name ""InvalidBeanName"" for class InvalidBeanClass",faed1bc4,Invalid name <*> for class InvalidBeanClass,"['""InvalidBeanName""']",a20ba4b9_1
1,[DEBUG],Starting quorum peer,d459c04c,Starting quorum peer,[],67a23884_1
2,[INFO],LOOKING,00078e14,LOOKING,[],67a23884_1
3,[INFO],OBSERVING,fceda1bc,OBSERVING,[],67a23884_1
4,[INFO],FOLLOWING,c172d526,FOLLOWING,[],67a23884_1
5,[INFO],LEADING,23719262,LEADING,[],67a23884_1
6,[WARN],QuorumPeer main thread exited,a8e24942,QuorumPeer main thread exited,[],67a23884_1
1,[DEBUG],Quorum address resolved to wildcard addresses,aa908556,Quorum address resolved to wildcard addresses,[],67a23884_2
1,[INFO],Shutting down,6a7eb108,Shutting down,[],67a23884_3
2,[INFO],"Shutdown called. For the reason ""reason""",2d018faa,Shutdown called. For the reason <*>,"['""reason""']",67a23884_3
3,[WARN],"Ignoring unexpected exception, e",b3fe2208,"Ignoring unexpected exception, e",[],67a23884_3
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",b917106e_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],b917106e_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f40018ee_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f40018ee_1
1,[WARN],"Failed to register MBean ""exampleBeanName""",a6109f76,Failed to register MBean <*>,"['""exampleBeanName""']",bb9a49f5_1
1,[WARN],"Failed to register MBean ""DataNodeBean""",a6109f76,Failed to register MBean <*>,"['""DataNodeBean""']",2354eb16_1
2,[WARN],"Failed to register with JMX, e",98ef3d8b,"Failed to register with JMX, e",[],2354eb16_1
1,[WARN],Not starting Read-only server as startup follows shutdown!,94ac0a57,Not starting Read-only server as startup follows shutdown!,[],86c5ab2d_1
2,[WARN],"Failed to register MBean ""ZooKeeperBean""",a6109f76,Failed to register MBean <*>,"['""ZooKeeperBean""']",86c5ab2d_1
3,[WARN],Failed to register with JMX due to exception,b56be535,Failed to register with JMX due to exception,[],86c5ab2d_1
4,[INFO],Read-only server started,dd776012,Read-only server started,[],86c5ab2d_1
1,[DEBUG],Socket is not open,ab89bd1f,Socket is not open,[],b330b347_1
2,[INFO],Closing socket connection,b06a919f,Closing socket connection,[],b330b347_1
1,[DEBUG],Ignoring exception during selectionkey cancel,5e464cd0,Ignoring exception during selectionkey cancel,[],66837774_1
2,[DEBUG],Closed socket connection for client 192.168.1.100 sessionId 123456789,f58bffea,Closed socket connection for client <*>.<*>.<*>.<*> sessionId <*>,"['192', '168.1.100', '123456789']",66837774_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",cd596be4_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],cd596be4_1
1,[DEBUG],"Unregister MBean [mBeanServer.unregisterMBean], objName",233b375a,"Unregister MBean <*>, objName",['[mBeanServer.unregisterMBean]'],24432444_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",7a0c9aa9_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],7a0c9aa9_1
1,[ERROR],Failed to get a response from model gpt-4o after multiple retries,d8f729cd,Failed to get a response from model gpt-<*>o after multiple retries,['4'],46e632b7_1
1,[WARN],Error during unregister of bean_name_01,3d132b03,Error during unregister of bean_name_<*>,['01'],b6bdf782_1
2,[ERROR],Unexpected exception during unregister of bean_name_01. It should be reviewed and fixed.,1bef4cb0,Unexpected exception during unregister of bean_name_<*>. It should be reviewed and fixed.,['01'],b6bdf782_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",4ba6b55f_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],4ba6b55f_1
1,[WARN],Current zxid 1024 is <= 1024 for READ,0076be86,Current zxid <*> is <= <*> for READ,"['1024', '<= 1024']",2df73235_1
2,[DEBUG],Creating new log file: log_1024,2ff922ae,Creating new log file: log_<*>,['1024'],2df73235_1
3,[ERROR],Faulty serialization for header and txn,fe6b8ed0,Faulty serialization for header and txn,[],2df73235_1
1,[WARN],Current zxid 100 is <= 100 for WRITE,b001afc7,Current zxid <*> is <= <*> for WRITE,"['100', '<= 100']",b4602dad_1
2,[DEBUG],Creating new log file: log_100,2ff922ae,Creating new log file: log_<*>,['100'],b4602dad_1
3,[ERROR],Faulty serialization for header and txn,fe6b8ed0,Faulty serialization for header and txn,[],b4602dad_1
1,[WARN],Current zxid 100 is <= 99 for CREATE,e7006b39,Current zxid <*> is <= <*> for CREATE,"['100', '<= 99']",e36f0f69_1
2,[DEBUG],Creating new log file: log_100,2ff922ae,Creating new log file: log_<*>,['100'],e36f0f69_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",a1a71d12_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],a1a71d12_1
1,[TRACE],Trace enabled for log with mask 1024,b7bf6e60,Trace enabled for log with mask <*>,['1024'],a8e4c544_1
2,[TRACE],Request logged with header:rp:/user/data:READ,3758dd26,Request logged with header:rp:<*>:READ,['/user/data'],a8e4c544_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",6a09e0b8_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],6a09e0b8_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",71602e92_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],71602e92_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",71602e92_2
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],71602e92_2
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",71602e92_3
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],71602e92_3
1,[WARN],"Exception while establishing session, closing, e",95acc1a8,"Exception while establishing session, closing, e",[],fec98a47_1
2,[DEBUG],Established session 0x1a2b3c with negotiated timeout 30000 for client 192.168.1.100,76500044,Established session <*>x<*>a<*>b<*>c with negotiated timeout <*> for client <*>.<*>.<*>.<*>,"['0x1', '2b3', '30000', '192', '168.1.100']",fec98a47_1
3,[INFO],"Invalid session 0x1a2b3c for client 192.168.1.100, probably expired",e4cd4dfd,"Invalid session <*>x<*>a<*>b<*>c for client <*>.<*>.<*>.<*>, probably expired","['0x1', '2b3', '192', '168.1.100']",fec98a47_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",0c6fb45d_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],0c6fb45d_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",1aa67eb1_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],1aa67eb1_1
1,[TRACE],Ack zxid: 0x1f4,7a2967a2,Ack zxid: <*>x<*>f<*>,"['0x1', '4']",eb6185a4_1
2,[TRACE],Outstanding proposals all,ae50c205,Outstanding proposals all,[],eb6185a4_1
3,[DEBUG],Outstanding is 0,8216383e,Outstanding is <*>,['0'],eb6185a4_1
4,[DEBUG],"Proposal has already been committed, pzxid: 0x1f4 zxid: 0x1f4",b4055bc7,"Proposal has already been committed, pzxid: <*>x<*>f<*> zxid: <*>x<*>f<*>","['0x1', '4', '0x1', '4']",eb6185a4_1
5,[WARN],Trying to commit future proposal: zxid 0x1f4 from follower01,6282eb07,Trying to commit future proposal: zxid <*>x<*>f<*> from follower<*>,"['0x1', '4', '01']",eb6185a4_1
1,[DEBUG],Bypassing cache,b5568f5b,Bypassing cache,[],f367ba94_1
2,[TRACE],Ack zxid: 0x100000000,1d653c9c,Ack zxid: <*>x<*>,['0x100000000'],f367ba94_1
3,[TRACE],outstanding proposals all,3676964f,outstanding proposals all,[],f367ba94_1
4,[DEBUG],outstanding is 0,a369f3f8,outstanding is <*>,['0'],f367ba94_1
5,[DEBUG],"proposal has already been committed, pzxid: 0x100000000 zxid: 0x100000000",f9c59012,"proposal has already been committed, pzxid: <*>x<*> zxid: <*>x<*>","['0x100000000', '0x100000000']",f367ba94_1
6,[WARN],Trying to commit future proposal: zxid 0x100000000 from follower01,953d4f52,Trying to commit future proposal: zxid <*>x<*> from follower<*>,"['0x100000000', '01']",f367ba94_1
7,[ERROR],Null QuorumPeer,6dfc055d,Null QuorumPeer,[],f367ba94_1
1,[INFO],"Processing request: /user/data, request",e0948ecb,"Processing request: <*>, request",['/user/data'],92e9aef6_1
2,[INFO],Elapsed time calculated: 3.14ms,98b87da5,Elapsed time calculated: <*>.<*>ms,['3.14'],92e9aef6_1
3,[INFO],Added request to queue,7e49daf1,Added request to queue,[],92e9aef6_1
4,[INFO],Commit needed for request: true,76d6f802,Commit needed for request: <*>,['true'],92e9aef6_1
5,[INFO],Added write request to queue,1441b5d2,Added write request to queue,[],92e9aef6_1
6,[INFO],Incremented write request count: 1024,07aad86c,Incremented <*> request count: <*>,"['write', '1024']",92e9aef6_1
7,[INFO],Wakeup signal sent,62468e04,Wakeup signal sent,[],92e9aef6_1
8,[INFO],"Processing request: /user/data, request",e0948ecb,"Processing request: <*>, request",['/user/data'],92e9aef6_1
9,[INFO],Elapsed time calculated: 3.14ms,98b87da5,Elapsed time calculated: <*>.<*>ms,['3.14'],92e9aef6_1
10,[INFO],Added request to queue,7e49daf1,Added request to queue,[],92e9aef6_1
11,[INFO],Commit needed for request: false,76d6f802,Commit needed for request: <*>,['false'],92e9aef6_1
12,[INFO],Incremented read request count: 512,07aad86c,Incremented <*> request count: <*>,"['read', '512']",92e9aef6_1
13,[INFO],Wakeup signal sent,62468e04,Wakeup signal sent,[],92e9aef6_1
1,[ERROR],"Committed request not found on toBeApplied: 1024, request",86a55d40,"Committed request not found on toBeApplied: <*>, request",['1024'],3d61b616_1
1,[ERROR],"Throttled request sent as proposal: ""ProposalID_12345"". Exiting.",b076a528,Throttled request sent as proposal: <*>. Exiting.,"['""ProposalID_12345""']",4cc5aad5_1
2,[INFO],System exit requested by ServiceUtils,e133f60d,System exit requested by ServiceUtils,[],4cc5aad5_1
3,[ERROR],Xid rollover detected. Shutting down system.,dc17ed8e,Xid rollover detected. Shutting down system.,[],4cc5aad5_1
1,[ERROR],"Throttled request sent as proposal: ""ProposalID_12345"". Exiting.",b076a528,Throttled request sent as proposal: <*>. Exiting.,"['""ProposalID_12345""']",4cc5aad5_2
