EventTemplate,AdldEventId
Stopping RPC proxy for namenode<*>,331
Preallocated <*> bytes at the end of the edit log (offset <*>),332
Fsck: deleted corrupt file <*>,333
Fsck: error deleting corrupted file <*>,334
Successfully cleaned up resources using IOUtils.cleanupWithLogger,335
Added new encryption keys to BlockTokenSecretManager,336
Fetched namespaces successfully,337
Cannot fetch number of expired registrations from the store: Failed to connect to namenode,338
Connecting to datanode datanode<*>:<*>,339
Send buf size <*>,340
Replaced expired token: ABC<*>XYZ,341
Refreshed host properties for CombinedHostFileManager,342
Retrieved configuration value for key <*> with default value <*>,343
requestShortCircuitFdsForRead failed,344
Stopping service namenode<*>,345
Joining threads for service namenode<*>,346
Service namenode<*> stopped successfully,347
Exception while selecting input streams,348
StoragePolicySatisfier stopGracefully executed successfully,349
Checking namenode startup status,350
Operation check completed,351
Cache entry found and successful,352
RetryCache wait for completion initiated,353
Setting extended attribute for path <*>,354
RetryCache state updated successfully,355
Fetched file status for path <*>,356
Path <*> is not a directory,357
Listing status for path <*>,358
Successfully listed <*> files in <*>,359
Returning empty list for non-directory path <*>,360
File not found: <*>,361
IOException while listing status for path <*>,362
Disk Balancer - Internal Error.,363
RPC IDs logged for operation ModifyCacheDirectiveInfoOp,364
Edit logged for directive <*> with access READ|WRITE,365
Unregistered shared memory segment,366
Synchronized shared memory state,367
Preconditions check passed,368
Invalidated slot <*>,369
Freed slot <*>,370
Exited unregisterShm operation,371
"SSL config sslProp is missing. If dfs.server.https.keystore.resource is specified, make sure it is a relative path",372
logRpcIds called,373
logEdit called,374
"Validating input parameters: offset=<*>, length=<*>",375
Acquired read lock for path <*>,376
Resolved path <*> to inode ID <*>,377
Checking permissions for user hadoop_user,378
Permission check passed for user hadoop_user with access READ,379
Creating located blocks for path <*>,380
Successfully created GetBlockLocationsResult with <*> blocks,381
Released read lock for path <*>,382
Snapshot detected for path <*>,383
Calculating minimum block size for snapshot,384
Permission check skipped as permission is disabled,385
Successfully read file <*>,386
Parsed host entry for namenode<*>,387
Successfully created journal with ID journal_<*> for name service ns_<*>,388
Finalized journal journal_<*> successfully,389
BPOfferService interrupted while waiting for block report,390
Entering run method,391
Mover took <*> milliseconds,392
"Received versionRequest response: NamespaceInfo{clusterID=cluster-<*>, blockPoolID=pool-<*>}",393
Problem connecting to server: namenode<*>:<*>,394
Fetched RPC addresses for nameservice <*>,395
Created non-HA proxy for namenode at <*>,396
Retrieved current user <*>,397
Calculated network distance between datanode<*> and namenode<*> as <*> hops,398
Created new block reader for block ID <*> on datanode<*>,399
Retrieved peer cache for datanode<*>,400
Successfully completed block read operation,401
Fetched suffix IDs for keys: <*>,402
Valid suffix IDs found: <*>,403
No valid suffix IDs found for keys: <*>,404
"Audit event: create, <*>, SUCCESS",405
"Audit event: create, <*>, Access denied",406
Skipped <*> bytes in <*>,407
skip discarded <*> bytes from dataBuf and advanced dataPos by <*>,408
LeaseManager is interrupted,409
Unexpected throwable:,410
Could not sync enough journals to persistent storage due to No journals available to flush. Unsynced transactions: <*>,411
lease has expired hard limit,412
Payload retrieved successfully,413
RetryCache operation completed,414
Cache directive added successfully,415
RetryCache state updated to COMPLETED,416
Updated pipeline for block <*> on datanode<*>,417
Using clusterid: cluster-<*>,418
"Clusterid mismatch - current clusterid: cluster-<*>, Ignoring given clusterid: cluster-<*>",419
Audit event for listStatus operation <*> on <*>,420
Added internal servlet for path <*><*><*>,421
Successfully checked operation,422
Retrieved namespaces from ActiveNamenodeResolver,423
Concurrent invocation completed successfully,424
Processed all values in ret,425
Proxying operation:,426
Creating compression for FS image,427
Saving namespace context,428
Saving image to target directory <*>,429
Purging old legacy OIV images,430
Acquired read lock for rolling upgrade process,431
Retrieved rolling upgrade info from namenode<*>,432
"Rollback images not created, proceeding to set rollback images",433
Released read lock,434
Created RollingUpgradeInfo.Bean for tracking,435
Encountered exception setting Rollback Image,436
Fetched configuration values for trimmed string collection,437
Converted string collection to URIs successfully,438
SetAclOp instance created successfully,439
ACL edit logged successfully for path <*> with permissions READ|WRITE,440
Block deletion time is set to <*>-<*>-<*>T<*>:<*>:<*>Z,441
The block deletion will start around <*>-<*>-<*>T<*>:<*>:<*>Z,442
Fetched parent path from <*>,443
Periodic heartbeat sent to namenode<*>,444
Quota update completed for <*>,445
State store <*> <*> successfully,446
Router safemode status checked,447
Router heartbeat sent to namenode<*>,448
Cannot heartbeat for router: unknown router id,449
Cannot heartbeat router: State Store unavailable,450
"Cannot heartbeat router, IOException:",451
Router heartbeat for router,452
checkOperation succeeded,453
readLock acquired,454
getStoragePolicies retrieved,455
readUnlock performed,456
Operation completed. Audit event logged successfully,457
Audit event failed due to AccessControlException,458
Exception while adding a block,459
NotReplicatedYetException sleeping src retries left <*>,460
Caught exception,461
Successfully registered MBean for metrics under namenode,462
"Failed to close provider., java.io.IOException: Disk full",463
IOException exception cannot be retried,464
<*> does not allow retrying a failed subcluster,465
Cannot invoke readBlock for <*>: Connection refused,466
<*> allows retrying failed subclusters in <*>,467
Cannot invoke readBlock for <*> in <*>: Connection refused,468
Operation check succeeded on rpcServer,469
Concurrent invocation succeeded on rpcClient,470
Fetched namespaces from ActiveNamenodeResolver,471
Updating State Store cache,472
Logged info for <*> of <*> blocks reported.,473
Content summary computed for path <*>,474
Erasure coding policy name retrieved: RS-<*>-<*>-<*>k,475
Unable to rename checkpoint in directory <*><*>,476
"timed poll(): poll() returned null, sleeping for <*> ms",477
timed poll(): timed out,478
"timed poll(): poll() returned null, sleeping for <*>ms",479
The scanning start dir<*> dir <*> does not have children.,480
Starting upgrade of edits directory,481
Failed to move aside pre-upgrade storage in image directory,482
Block files moved to rbw directory,483
RBW replica created,484
Checksum loaded and data length set,485
Tailing edits starting from txn ID <*> via RPC mechanism,486
"Encountered exception while tailing edits >= <*> via RPC; falling back to streaming., java.io.IOException: Connection refused",487
ProviderBlockIteratorImpl initialized successfully,488
ProviderBlockIteratorImpl load succeeded,489
DataNode instantiated successfully,490
Starting DataNode daemon on port <*>,491
DataNode daemon started successfully,492
"Failed to instantiate DataNode, dn is null",493
Error retrieving hostname,494
unknown POST <*><*><*>,495
Cannot send OOB response SUCCESS. Responder not running.,496
Sending an out of band ack of type SUCCESS,497
Preconditions.checkNotNull succeeded,498
FsDatasetSpi.updateReplicaUnderRecovery succeeded,499
Block generation stamp set to <*>,500
Block <*> set to <*>,501
Namenode notified of received block,502
Loading <*> inodes.,503
Sorting inodes,504
Finished sorting inodes,505
Concurrent execution enabled for source <*>,506
Invoked <*> RPC call to datanode<*>,507
Sequential execution enabled for source <*>,508
Temporary redirect with URI https:<*>:<*><*>,509
Returning JSON response with location https:<*>:<*><*>,510
Temporary redirect with URI https:<*>:<*><*> for file checksum,511
Returning JSON response with location https:<*>:<*><*> for file checksum,512
Delegation token retrieved for user hadoop_user,513
Block locations retrieved for path <*>,514
"Skipped checking all volumes, time since last check <*> is less than the minimum gap between checks (<*> ms)",515
checkAllVolumesAsync - no volumes can be referenced,516
Scheduled health check for volume <*><*>,517
checkAllVolumes timed out after <*> ms maxAllowedTimeForCheckMs,518
Preconditions check passed for transaction ID <*>,519
Fetched storage file <*><*>,520
Successfully wrote <*> bytes to <*><*>,521
Failed to mkdirs <*>,522
"Failed to move <*> file from <*> to <*>, IOException: Permission denied",523
can't create client mmap for replica <*><*>,524
retrying client mmap for replica <*><*>,525
Fetched block locations for path <*> from namenode<*>,526
Concurrent invocation enabled for source pool-<*>,527
Invoked <*> operation on <*> <*>,528
Sequential invocation enabled for source pool-<*>,529
Reconfiguring dfs.replication to <*>,530
RECONFIGURE* changed dfs.replication to <*>,531
Failed to preserve last modified date from <*> to <*>,532
"Successfully registered MBean with name hadoop:service=NameNode,name=NameNodeInfo",533
Disk statistics collection is enabled,534
Total capacity is <*>GB,535
Failed to get total capacity due to IOException,536
Logged RPC IDs for operation updateBlocks,537
Logged edit for path <*> with blocks <*>,538
Fetched total block count: <*>,539
Fsck: ignoring open file <*>,540
Fsck: Block manager is able to process only <*> mis-replicated blocks (Total count : <*>) for path <*>,541
"Snapshot created successfully with root <*>, name snapshot_<*>, and modification time <*>",542
Failed to fetch record class for <*>,543
Reserved <*> bytes in cache,544
Rounded up page size to <*> bytes,545
Evicted <*> lazy persist blocks,546
Reserved <*> bytes in cache after eviction,547
NFS COMMIT fileHandle: <*> offset=<*> count=<*> client: <*>.<*>.<*>.<*>,548
Fetched datanode list for report,549
Processing datanode storage report for datanode<*>,550
Completed datanode storage reports,551
Provided space calculated successfully,552
Invalid arguments provided,553
Usage: command <*>,554
Dumping state store configuration,555
Configuration loaded successfully,556
Couldn’t find image file at txid <*> even though it should have just been downloaded,557
Acquired write lock on dstNamesystem,558
Reloaded image file from <*><*>,559
Released write lock on dstNamesystem,560
Image load completed successfully,561
Checkpoint fault injected during merge,562
Rolled forward logs to txid <*>,563
Saved FSImage in all directories,564
Updated storage version to <*>.<*>,565
Reloading namespace from image_file,566
Beginning of the phase: load_fsimage,567
Deleted a metadata file without a block <*>,568
Removed block <*> from memory with missing block file on the disk,569
Resolve Duplicate Replicas,570
No valid proxies left,571
Invocation successful on namenode<*>,572
Unsuccessful invocation on namenode<*>,573
ReportBadBlocks for block: blk_<*> on datanode: datanode<*>,574
Report bad blocks for block: blk_<*> on datanode: dn_<*>,575
BLOCK* findAndMarkBlockAsCorrupt: blk_<*> not found,576
BLOCK* findAndMarkBlockAsCorrupt: blk_<*> not found on dn_<*>,577
"Could not create exception RemoteException, ReflectiveOperationException",578
Not starting CacheReplicationMonitor as name-node caching is disabled.,579
CacheReplicationMonitor started,580
CacheReplicationMonitor already running,581
Processing block invalidation for blockId <*>,582
Uncaching block <*> from cache pool data_pool_<*>,583
Notified namenode namenode<*> of deleted block <*>,584
Successfully registered with default registry,585
Request dispatched to handler,586
Sync thread started successfully,587
Opened edit log for write operation,588
Failed to start sync thread: IOException,589
Sync thread stopped due to exception,590
Failed to open edit log for write: IOException,591
Fetched root directory from <*>,592
open AuthenticatedURL connection https:<*>:<*>,593
open URL connection,594
Client <*>.<*>.<*>.<*> did not send a valid status code after reading. Will close connection.,595
Got exception while serving block-<*> to <*>.<*>.<*>.<*>: java.io.IOException,596
opReadBlock block-<*> received exception: java.io.IOException,597
datanode-<*>: <*> exception while serving block-<*> to <*>.<*>.<*>.<*>: <*>,598
Read <*>MB block blk_<*> from dn<*>,599
Disk <*> latency <*>ms exceeds threshold,600
"Insufficient space for placing the block on a transient volume, fall back to persistent storage",601
org.apache.hadoop.hdfs.util.ByteArrayManager$FixedLengthManager instance,602
wait ...,603
"wake up: org.apache.hadoop.hdfs.util.ByteArrayManager$FixedLengthManager instance, recycled? true",604
Preconditions check succeeded,605
Log segment started successfully,606
Write quorum achieved with <*> replicas,607
QuorumOutputStream initialized for block <*><*>,608
Invalid SYMLINK request,609
"NFS SYMLINK, target: <*> link: <*> namenodeId: namenode<*> client: <*>.<*>.<*>.<*>",610
"Exception, e",611
Successfully created proxy for namenode<*>,612
About to load edits,613
Reading <*> expecting start txid #<*> logSuppressed,614
Startup shutdown message displayed,615
Parsed help argument <*>,616
Exiting system with status <*>,617
Initialized GenericOptionsParser,618
Created DFSZKFailoverController instance,619
Running DFSZKFailoverController,620
DFSZKFailOverController exiting due to earlier exception: java.lang.RuntimeException: Failed to run,621
Terminated DFSZKFailoverController,622
Handling deprecation for all properties in config...,623
Handling deprecation for (String)item,624
Reference count: readBlock <*>: <*>,625
Thread<*> at org.apache.hadoop.hdfs.server.datanode.FsDatasetImpl.getReferenceCount(FsDatasetImpl.java:<*>),626
BLOCK* removeDatanode: datanode<*> does not exist,627
openFileMap size: <*>,628
"After remove stream <*><*>, the stream number: <*>",629
Cleaned file <*><*>,630
Updated removed under construction files for <*><*>,631
Removed feature from file <*><*>,632
Destroyed and collected blocks for snapshot <*>,633
Cleaned zero-size block for file <*><*>,634
Retrieved storage policy ID <*> for file <*><*>,635
No snapshot name found for inode <*>,636
DatanodeManager.wipeDatanode(node): storage key is removed from datanodeMap.,637
Closed output stream successfully,638
Closed client connection to namenode<*>,639
Failed to create writer for block at index <*> due to insufficient permissions,640
report bad block <*> failed,641
Successfully set safe mode on namenode<*>,642
Initialized BlockReceiver for block <*> on datanode<*>,643
Successfully received block <*> from client,644
Block <*> written to disk at <*><*><*><*>,645
Cancelled token for hdfs:<*>:<*>,646
Exception in closing stream,647
Fetched block pool slice for pool-<*>,648
Retrieved volume map for volume-<*>,649
"No striped internal block on source <*>, block <*>. Skipping.",650
Decided to move + this,651
Executing <*> operation,652
Exception occurred during beforeFileIo: Access denied to path <*>,653
Exception rethrown: Access denied to path <*>,654
Copying file <*> to <*> using nativeCopyFileUnbuffered,655
Exception occurred during nativeCopyFileUnbuffered: Disk write failure,656
Exception rethrown: Disk write failure,657
Exception occurred during afterFileIo: Profiling data write failure,658
Exception rethrown: Profiling data write failure,659
File copy completed successfully,660
open file: https:<*>:<*><*>,661
Finalized log segment in <*>,662
Finalizing edits file journal_inprogress_edits -> journal_current_edits,663
Stopping threads in ZKDelegationTokenSecretManager,664
Shutting down scheduler,665
Scheduler shutdown succeeded,666
Write operations incremented successfully,667
Operation counter incremented in storage statistics,668
UMask applied successfully,669
"FsPathOutputStreamRunner initialized with parameters: bufferSize=<*>, replication=<*>, blockSize=<*>",670
"Permission parameters processed: masked=<*>, unmasked=<*>",671
Overwrite parameter set to true,672
Execution completed successfully,673
Fetched namespaces from namenodeResolver,674
Concurrent invocation completed on rpcClient,675
Merge operation completed successfully,676
Resolved path <*> <*>,677
StartAfter string is valid and starts with separator,678
StartAfter string is a reserved name,679
Permission check <*>,680
Last INode is a directory,681
Path access check completed,682
