LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
3,[INFO],Service stopped successfully,5778146e,Service stopped successfully,[],b1085c16_1
1,[DEBUG],There are no pending or blocks yet to be processed,bf88e7e5,There are no pending or blocks yet to be processed,[],3b24fefc_1
2,[INFO],There are 5 blocks pending replication and the limit is 10. A further 3 blocks are waiting to be processed. The replication queue currently has 8 blocks,024cca94,There are <*> blocks pending replication and the limit is <*>. A further <*> blocks are waiting to be processed. The replication queue currently has <*> blocks,"['5', '10', '3', '8']",3b24fefc_1
3,[DEBUG],7 blocks are now pending replication,5ea6f23f,<*> blocks are now pending replication,['7'],3b24fefc_1
1,[INFO],Sent total: 1024MB,35e2ce75,Sent total: <*>MB,['1024'],8f86596e_1
2,[INFO],Connection closed by client,9aeaad0d,Connection closed by client,[],8f86596e_1
3,[WARN],SIMULATING A CORRUPT BYTE IN IMAGE TRANSFER!,b978dc55,SIMULATING A CORRUPT BYTE IN IMAGE TRANSFER!,[],8f86596e_1
1,[ERROR],"Cannot create record type ""DriverRecord"" from ""/zookeeper/driver"": Invalid format",262dbb70,Cannot create record type <*> from <*>: Invalid format,"['""DriverRecord""', '""/zookeeper/driver""']",ea6f438f_1
2,[ERROR],"Cannot get data for ""child_node_01"" at ""/zookeeper/driver/child_node_01"", cleaning corrupted data",28911861,"Cannot get data for <*> at <*>, cleaning corrupted data","['""child_node_01""', '""/zookeeper/driver/child_node_01""']",ea6f438f_1
3,[ERROR],"Cannot get data for ""child_node_02"": Data corrupted",ca414bc5,Cannot get <*> for <*>: <*> <*>,"['data', '""child_node_02""', 'Data corrupted']",ea6f438f_1
4,[ERROR],"Cannot get children for ""/zookeeper/driver"": Connection timeout",ca414bc5,Cannot get <*> for <*>: <*> <*>,"['children', '""/zookeeper/driver""', 'Connection timeout']",ea6f438f_1
1,[INFO],Executed writeInt with value 1024,9e5f3920,Executed writeInt with value <*>,['1024'],75f5a15f_1
2,[INFO],Saved all keys to /user/data/keys,605d0f5e,Saved all keys to <*>,['/user/data/keys'],75f5a15f_1
3,[INFO],Executed writeInt with value 2048,9e5f3920,Executed writeInt with value <*>,['2048'],75f5a15f_1
4,[INFO],Saved current tokens to /user/data/tokens,c72d4cee,Saved current tokens to <*>,['/user/data/tokens'],75f5a15f_1
1,[DEBUG],Audit log false for operation listSnapshottableDirectory,b438960a,Audit log <*> for operation listSnapshottableDirectory,['false'],c47726e3_1
2,[DEBUG],Audit log true for operation listSnapshottableDirectory,b438960a,Audit log <*> for operation listSnapshottableDirectory,['true'],c47726e3_1
1,[DEBUG],getUGI is returning: hadoop_user,9fe785b8,getUGI is returning: hadoop_user,[],fec293aa_1
1,[WARN],Unexpectedly low genstamp on /user/data/block_01,730088d5,Unexpectedly <*> <*> on <*><*>,"['low genstamp', '/user/data/block_01']",76f86188_1
2,[WARN],Unexpectedly short length on /user/data/block_02,730088d5,Unexpectedly <*> <*> on <*><*>,"['short length', '/user/data/block_02']",76f86188_1
1,[INFO],Truncate operation initialized for path /user/data,37b8f7ac,Truncate operation initialized for path <*>,['/user/data'],fe0bf676_1
2,[INFO],Client name set to hadoop_user,4d428a72,Client <*> set to <*>,"['name', 'hadoop_user']",fe0bf676_1
3,[INFO],Client machine set to namenode01,4d428a72,Client <*> set to <*>,"['machine', 'namenode01']",fe0bf676_1
4,[INFO],New length set to 1024 bytes,590e0e51,New length set to <*> bytes,['1024'],fe0bf676_1
5,[INFO],Timestamp set to 1698765432000,88b06534,Timestamp set to <*>,['1698765432000'],fe0bf676_1
6,[INFO],Truncate block set to block-01,7e000e74,Truncate block set to block-<*>,['01'],fe0bf676_1
7,[INFO],Edit logged successfully,f7d8d4e1,Edit logged successfully,[],fe0bf676_1
1,[DEBUG],"Upstream service is down, skipping the sps work.",ba32a76d,"Upstream service is down, skipping the sps work.",[],6dcffc11_1
2,[INFO],Failed to satisfy the policy after retries. Removing inode from the queue.,33110ece,Failed to satisfy the policy after retries. Removing inode from the queue.,[],6dcffc11_1
3,[DEBUG],Block analysis status:ANALYSIS_SKIPPED_FOR_RETRY for the file id:12345.,9f22107a,Block analysis <*> for the file id:<*>.,"['status:ANALYSIS_SKIPPED_FOR_RETRY', '12345']",6dcffc11_1
4,[DEBUG],Adding to attempt monitor queue for the storage movement attempt finished report.,87e2f67b,Adding to attempt monitor queue for the storage movement attempt finished report.,[],6dcffc11_1
5,[DEBUG],Adding trackID:67890 for the file id:12345 back to retry queue as none of the blocks found its eligible targets.,e11cf6c7,Adding trackID:<*> for the file id:<*> back to retry queue as none of the blocks found its eligible targets.,"['67890', '12345']",6dcffc11_1
6,[DEBUG],Adding trackID:67890 for the file id:12345 back to retry queue as some of the blocks are low redundant.,d83abfb2,Adding trackID:<*> for the file id:<*> back to retry queue as some of the blocks are low redundant.,"['67890', '12345']",6dcffc11_1
7,[DEBUG],Adding trackID:67890 for the file id:12345 back to retry queue as some of the blocks movement failed.,e79e624a,Adding trackID:<*> for the file id:<*> back to retry queue as some of the blocks movement failed.,"['67890', '12345']",6dcffc11_1
8,[INFO],Block analysis status:BLOCKS_TARGETS_PAIRED for the file id:12345.,9f22107a,Block analysis <*> for the file id:<*>.,"['status:BLOCKS_TARGETS_PAIRED', '12345']",6dcffc11_1
9,[INFO],"So, Cleaning up the Xattrs.",6c058aee,"So, Cleaning up the Xattrs.",[],6dcffc11_1
10,[INFO],Namenode is in safemode. It will retry again.,84499edb,Namenode is in safemode. It will retry again.,[],6dcffc11_1
11,[ERROR],Exception during StoragePolicySatisfier execution - will continue next cycle.,56821691,Exception during StoragePolicySatisfier execution - will continue next cycle.,[],6dcffc11_1
12,[INFO],Stopping StoragePolicySatisfier.,3d358a8e,Stopping StoragePolicySatisfier.,[],6dcffc11_1
13,[ERROR],StoragePolicySatisfier thread received runtime exception.,a95f9b2f,StoragePolicySatisfier thread received runtime exception.,[],6dcffc11_1
1,[DEBUG],Select counter statement: SELECT * FROM counter_table,fe3d893d,Select counter statement: SELECT * FROM counter_table,[],c0606798_1
2,[ERROR],Counter table not initialized: counter_table,a6fd3e95,Counter table not initialized: counter_table,[],c0606798_1
1,[INFO],Reading 128MB block from namenode01,9e3b6bd8,Reading <*>MB block from namenode<*>,"['128', '01']",0209f814_1
2,[INFO],Chunk is instance of LastHttpContent,666c07c8,Chunk is instance of LastHttpContent,[],0209f814_1
3,[INFO],Releasing DFS resources,cb8d51ed,Releasing DFS resources,[],0209f814_1
4,[INFO],Setting block metadata,a4a14bf3,Setting block metadata,[],0209f814_1
5,[INFO],Adding listener for block completion,a609fb91,Adding listener for block completion,[],0209f814_1
6,[ERROR],Failed to set block metadata due to IOException,b481e5e1,Failed to <*> <*> <*> due to IOException,"['set', 'block metadata']",0209f814_1
7,[INFO],Exception caught and handled,4b2adcc4,Exception caught and handled,[],0209f814_1
8,[ERROR],Failed to release DFS resources due to IOException,b481e5e1,Failed to <*> <*> <*> due to IOException,"['release', 'DFS resources']",0209f814_1
9,[INFO],Exception caught and handled,4b2adcc4,Exception caught and handled,[],0209f814_1
10,[INFO],Chunk is not instance of LastHttpContent,a44acd6f,Chunk is not instance of LastHttpContent,[],0209f814_1
11,[DEBUG],"Exception in channel handler, cause",0380e77e,"Exception in channel handler, cause",[],0209f814_1
1,[INFO],Removed default ACL for path /user/data,66309f7d,Removed default ACL for path <*>,['/user/data'],a2e07550_1
2,[INFO],Successfully processed removeDefaultAcl request,a621cff0,Successfully processed removeDefaultAcl request,[],a2e07550_1
3,[DEBUG],Proxying operation,10fdf291,Proxying operation,[],a2e07550_1
1,[INFO],Block 1024 moved from /user/data to /user/backup,e3a474f2,Block <*> moved from <*> to <*>,"['1024', '/user/data', '/user/backup']",6e542e69_1
2,[INFO],Source storage type: SSD,41e1302d,Source storage type: SSD,[],6e542e69_1
3,[INFO],Target storage type: HDD,51bf4a9c,Target storage type: HDD,[],6e542e69_1
4,[INFO],Block movement attempt completed successfully,9013ea9b,Block movement attempt completed successfully,[],6e542e69_1
1,[WARN],Failed to connect with namenode,534db81b,Failed to connect with namenode,[],7078caa8_1
1,[DEBUG],About to load edits: [STREAM_DESC],46a5cb47,About to load edits: <*>,['[STREAM_DESC]'],6ed3b30d_1
2,[INFO],Reading /user/data/editlog_01 expecting start txid #12345 [LOG_SUPPRESSED],93621638,Reading <*><*> expecting start txid #<*> <*>,"['/user/data/editlog_01', '12345 [LOG_SUPPRESSED]']",6ed3b30d_1
1,[DEBUG],About to load edits: [STREAM_DESC],46a5cb47,About to load edits: <*>,['[STREAM_DESC]'],6ed3b30d_2
1,[DEBUG],About to load edits: [STREAM_DESC],46a5cb47,About to load edits: <*>,['[STREAM_DESC]'],6ed3b30d_3
1,[DEBUG],About to load edits: [STREAM_DESC],46a5cb47,About to load edits: <*>,['[STREAM_DESC]'],6ed3b30d_4
1,[DEBUG],No node to choose.,8e17cfe2,No node to choose.,[],c5ad5716_1
2,[DEBUG],"First trial failed, node has no type SSD, making second trial carrying this type",c0143493,"First trial failed, node has no type SSD, making second trial carrying this type",[],c5ad5716_1
1,[INFO],Fetched delegation token from namenode01,bd06b238,Fetched delegation token from namenode<*>,['01'],6d9f9d63_1
2,[INFO],Token service set to namenode01:8020,b0043cc4,Token service set to namenode<*>:<*>,['01:8020'],6d9f9d63_1
3,[INFO],Token added successfully,bf90d6e4,Token added successfully,[],6d9f9d63_1
4,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],6d9f9d63_1
5,[WARN],trying to get DT with no secret manager running,d969c6e9,trying to get DT with no secret manager running,[],6d9f9d63_1
1,[INFO],Namesystem image is not loaded,f54161e1,Namesystem image is not loaded,[],506b2567_1
2,[INFO],Namesystem image is loaded,f1c82a66,Namesystem image is loaded,[],506b2567_1
3,[INFO],Number of INodes (1024) exceeds iip length (512),318fd9e6,Number of INodes (<*>) exceeds iip length (<*>),"['1024', '512']",506b2567_1
4,[INFO],Quota check enabled and skipQuotaCheck is false,a05bc3c7,Quota check <*> <*> skipQuotaCheck is <*>,"['enabled and', 'false']",506b2567_1
5,[INFO],Quota verification completed successfully,d01105a2,Quota verification completed successfully,[],506b2567_1
6,[INFO],Updated INode count to 1024,02c16732,Updated INode count to <*>,['1024'],506b2567_1
7,[INFO],Retrieved storage policy ID 3,7dc8c86a,Retrieved storage policy ID <*>,['3'],506b2567_1
8,[INFO],Number of INodes (1024) exceeds iip length (512),318fd9e6,Number of INodes (<*>) exceeds iip length (<*>),"['1024', '512']",506b2567_1
9,[INFO],Quota check disabled or skipQuotaCheck is true,a05bc3c7,Quota check <*> <*> skipQuotaCheck is <*>,"['disabled or', 'true']",506b2567_1
10,[INFO],Updated INode count to 1024,02c16732,Updated INode count to <*>,['1024'],506b2567_1
11,[INFO],Retrieved storage policy ID 3,7dc8c86a,Retrieved storage policy ID <*>,['3'],506b2567_1
12,[INFO],Number of INodes (512) does not exceed iip length (512),b57710e8,Number of INodes (<*>) does not exceed iip length (<*>),"['512', '512']",506b2567_1
13,[INFO],Quota check enabled and skipQuotaCheck is false,a05bc3c7,Quota check <*> <*> skipQuotaCheck is <*>,"['enabled and', 'false']",506b2567_1
14,[INFO],Quota verification completed successfully,d01105a2,Quota verification completed successfully,[],506b2567_1
15,[INFO],Updated INode count to 512,02c16732,Updated INode count to <*>,['512'],506b2567_1
16,[INFO],Retrieved storage policy ID 3,7dc8c86a,Retrieved storage policy ID <*>,['3'],506b2567_1
17,[INFO],Number of INodes (512) does not exceed iip length (512),b57710e8,Number of INodes (<*>) does not exceed iip length (<*>),"['512', '512']",506b2567_1
18,[INFO],Quota check disabled or skipQuotaCheck is true,a05bc3c7,Quota check <*> <*> skipQuotaCheck is <*>,"['disabled or', 'true']",506b2567_1
19,[INFO],Updated INode count to 512,02c16732,Updated INode count to <*>,['512'],506b2567_1
20,[INFO],Retrieved storage policy ID 3,7dc8c86a,Retrieved storage policy ID <*>,['3'],506b2567_1
1,[INFO],Shutdown completed for block pool data_pool_01,6565821e,Shutdown completed for block pool data_pool_<*>,['01'],1ea54afe_1
2,[INFO],Removed block pool slices for data_pool_01,bafa6218,Removed block pool slices for data_pool_<*>,['01'],1ea54afe_1
1,[INFO],"Success: removeCachePool, poolName: data_pool_01, true",313dbad1,"Success: removeCachePool, poolName: data_pool_<*>, true",['01'],b6818c6f_1
2,[WARN],"Failure: removeCachePool, poolName: data_pool_01, false",976c489c,"Failure: removeCachePool, poolName: data_pool_<*>, false",['01'],b6818c6f_1
3,[ERROR],"Exception in writeLock during removeCachePool, poolName: data_pool_01, false",985a2347,"Exception in writeLock during removeCachePool, poolName: data_pool_<*>, false",['01'],b6818c6f_1
1,[INFO],Namenode startup check succeeded,c46e8412,Namenode startup check succeeded,[],7e9b4875_1
2,[INFO],Received datanode report from namenode01,b19297cb,Received datanode report from namenode<*>,['01'],7e9b4875_1
1,[INFO],Established connection with peer at 192.168.1.10:9000,038ff271,Established connection with peer at <*>.<*>.<*>.<*>:<*>,"['192', '168.1.10', '9000']",2557d6bb_1
2,[INFO],Set read timeout to 5000ms,557236b8,Set <*> timeout to <*>ms,"['read', '5000']",2557d6bb_1
3,[INFO],Set write timeout to 5000ms,557236b8,Set <*> timeout to <*>ms,"['write', '5000']",2557d6bb_1
4,[INFO],Sent 1024 bytes to peer,0cba578d,Sent <*> bytes to peer,['1024'],2557d6bb_1
5,[INFO],Peer send operation succeeded,17f7cac6,Peer send operation succeeded,[],2557d6bb_1
6,[ERROR],Peer send operation failed: Connection reset by peer,b8224a6d,Peer send operation failed: Connection reset by peer,[],2557d6bb_1
7,[INFO],Cleaned up resources with logger,cd363169,Cleaned up resources with logger,[],2557d6bb_1
1,[TRACE],Removing unknown block 1024,e9efd168,Removing unknown block <*>,['1024'],c88532db_1
2,[WARN],File /user/data is not under construction. Skipping add to low redundancy open files!,77612f75,File <*> is not under construction. Skipping add to low redundancy open files!,['/user/data'],c88532db_1
1,[DEBUG],mkdirs: created directory /user/data,911e9804,mkdirs: created directory <*>,['/user/data'],d3817e0d_1
1,[DEBUG],Probing NN at service address: namenode01:8020,616b7ee1,Probing NN at service address: namenode<*>:<*>,['01:8020'],f8732c85_1
2,[ERROR],Cannot fetch safemode state for namenode01:8020,e2b48729,Cannot fetch safemode state for namenode<*>:<*>,['01:8020'],f8732c85_1
1,[WARN],The target has been modified since snapshot /user/data/snapshot_01,bfab544b,The target has been modified since snapshot <*><*>,['/user/data/snapshot_01'],067446b1_1
2,[WARN],Failed to compute snapshot diff on /user/data/snapshot_02 due to IOException,c44ec754,Failed to compute snapshot diff on <*><*> due to IOException,['/user/data/snapshot_02'],067446b1_1
1,[INFO],Operation check succeeded for path /user/data,cd02838e,Operation check succeeded for path <*>,['/user/data'],831e0e3d_1
2,[INFO],Retrieved block locations for path /user/data from namenode01,f852eb06,Retrieved block locations for path <*> from namenode<*>,"['/user/data', '01']",831e0e3d_1
3,[INFO],Sequential operation completed successfully,cdb5d35a,Sequential operation completed successfully,[],831e0e3d_1
1,[DEBUG],"DFSClient flush(): bytesCurBlock=1048576, lastFlushOffset=524288, createNewBlock=true",26b7328f,"DFSClient flush(): bytesCurBlock=<*>, lastFlushOffset=<*>, createNewBlock=true","['1048576', '524288']",fa1126d8_1
2,[WARN],Unable to persist blocks in hflush for /user/data,8f42811d,Unable to persist blocks in hflush for <*>,['/user/data'],fa1126d8_1
3,[ERROR],Error while syncing,8407acab,Error while syncing,[],fa1126d8_1
1,[WARN],excess types chosen for block 12345 among storages /user/data is empty,4badf5de,excess types chosen for block <*> among storages <*> is empty,"['12345', '/user/data']",c58a4557_1
2,[DEBUG],Choose redundant EC replicas to delete from blk_12345 which is located in /user/data,1eb35bd1,Choose redundant EC replicas to delete from blk_<*> which is located in <*>,"['12345', '/user/data']",c58a4557_1
1,[ERROR],Found duplicated storage UUID: storage-123 in /user/data.,32256a90,Found duplicated storage UUID: storage-<*> in <*>,"['123', '/user/data.']",59d41190_1
1,[INFO],Loading InMemoryAliasMapWriter for block pool id pool-01,eb673d70,Loading InMemoryAliasMapWriter for block pool id pool-<*>,['01'],501f280c_1
1,[WARN],"Failed to updateBlock (newblock=1024, datanode=datanode01)",02cf6721,"Failed to updateBlock (newblock=<*>, datanode=datanode<*>)","['1024', '01']",68488c67_1
1,[INFO],Lock acquired successfully,b1b40093,Lock <*> successfully,['acquired'],8a1f85c3_1
2,[INFO],Endpoint shared memory manager initialized,db0547c3,Endpoint shared memory manager initialized,[],8a1f85c3_1
3,[INFO],Free slot allocated successfully in shared memory,1f70f587,Free slot allocated successfully in shared memory,[],8a1f85c3_1
4,[INFO],Lock released successfully,b1b40093,Lock <*> successfully,['released'],8a1f85c3_1
1,[DEBUG],Interrupted during wait interval,57589dac,Interrupted during wait interval,[],81be7c80_1
1,[INFO],Fetched RBF metrics successfully,f01023ca,Fetched RBF metrics successfully,[],ab4d165d_1
2,[INFO],Number of stale nodes: 5,655c34d9,Number of stale nodes: <*>,['5'],ab4d165d_1
3,[DEBUG],Failed to get number of stale nodes,e3c5646b,Failed to get number of stale nodes,[],ab4d165d_1
1,[INFO],closeImpl invoked successfully,460a5ff3,closeImpl invoked successfully,[],aaee09fa_1
2,[ERROR],IOException occurred: Failed to close resource,b7a13c8a,IOException occurred: Failed to close resource,[],aaee09fa_1
3,[INFO],Resource closed successfully,96798ef7,Resource closed successfully,[],aaee09fa_1
1,[INFO],Fetched erasure coding codecs from namenode01,cb8df76d,Fetched erasure coding codecs from namenode<*>,['01'],437f61d0_1
1,[INFO],RPC proxy stopped successfully,c0cc74a6,RPC proxy stopped successfully,[],381cbb8e_1
1,[DEBUG],Exception occurred while modifying cache pool,f1d3e5e5,Exception occurred while modifying cache pool,[],7b1bb131_1
2,[INFO],modifyCachePool of data_pool_01 successful; set owner to hadoop_user,4d0fe6bc,modifyCachePool of data_pool_<*> successful; set <*> to <*>,"['01', 'owner', 'hadoop_user']",7b1bb131_1
3,[INFO],modifyCachePool of data_pool_01 successful; set group to hadoop_group,4d0fe6bc,modifyCachePool of data_pool_<*> successful; set <*> to <*>,"['01', 'group', 'hadoop_group']",7b1bb131_1
4,[INFO],modifyCachePool of data_pool_01 successful; set mode to 755,4d0fe6bc,modifyCachePool of data_pool_<*> successful; set <*> to <*>,"['01', 'mode', '755']",7b1bb131_1
5,[INFO],modifyCachePool of data_pool_01 successful; set limit to 1024,4d0fe6bc,modifyCachePool of data_pool_<*> successful; set <*> to <*>,"['01', 'limit', '1024']",7b1bb131_1
6,[INFO],modifyCachePool of data_pool_01 successful; set default replication to 3,5ed65001,modifyCachePool of data_pool_<*> successful; set default replication to <*>,"['01', '3']",7b1bb131_1
7,[INFO],modifyCachePool of data_pool_01 successful; set maxRelativeExpiry to 86400000,4d0fe6bc,modifyCachePool of data_pool_<*> successful; set <*> to <*>,"['01', 'maxRelativeExpiry', '86400000']",7b1bb131_1
8,[INFO],modifyCachePool of data_pool_01 successful; no changes.,a2b2e78d,modifyCachePool of data_pool_<*> successful; no changes.,['01'],7b1bb131_1
1,[INFO],Deactivation request received for failed volume: /data/failed_volume_01,c5c3bd2b,Deactivation request received for <*> volume: <*><*>,"['failed', '/data/failed_volume_01']",d2c73b3e_1
2,[INFO],Deactivation request received for active volume: /data/active_volume_01,c5c3bd2b,Deactivation request received for <*> volume: <*><*>,"['active', '/data/active_volume_01']",d2c73b3e_1
3,[ERROR],No directory is specified.,c92b8936,No directory is specified.,[],d2c73b3e_1
1,[ERROR],Cannot get children for /user/data,f70d38dc,Cannot get children for <*>,['/user/data'],9afc278e_1
1,[ERROR],Error encountered requiring NN shutdown. Shutting down immediately.,56fb73c9,Error encountered requiring NN shutdown. Shutting down immediately.,[],801419e5_1
1,[INFO],File copied successfully from /user/data to /user/backup using nativeCopyFileUnbuffered,806d9586,File copied successfully from <*> to <*> using nativeCopyFileUnbuffered,"['/user/data', '/user/backup']",fe5350fc_1
1,[INFO],Evicted expired entries from cache,66d20fec,Evicted expired entries from cache,[],7df9c066_1
2,[INFO],Cleared cache successfully,454bc93e,Cleared cache successfully,[],7df9c066_1
3,[ERROR],InterruptedException occurred during cache operation,76dbd41c,InterruptedException occurred during cache operation,[],7df9c066_1
1,[DEBUG],"logAuditEvent(false, setAcl, /user/data)",0d2ad085,"logAuditEvent(false, setAcl, <*>)",['/user/data'],4f158181_1
2,[INFO],"logAuditEvent(true, setAcl, /user/data, null, FileStatus{path=/user/data, isDirectory=true, length=1024, modificationTime=1698765432, owner=hadoop_user, group=hadoop_group, permission=rwxr-xr-x})",1d5a14a0,"logAuditEvent(true, setAcl, <*>, null, FileStatus{path=<*>, isDirectory=true, length=<*>, modificationTime=<*>, owner=hadoop_user, group=hadoop_group, permission=rwxr-xr-x})","['/user/data', '/user/data', '1024', '1698765432']",4f158181_1
1,[INFO],Initializing replication queues,923abd08,Initializing replication queues,[],3e5ae19e_1
2,[INFO],Processing mis-replicated blocks,f654a232,Processing mis-replicated blocks,[],3e5ae19e_1
3,[INFO],Replication queues initialized successfully,5eb6cb8d,Replication queues initialized successfully,[],3e5ae19e_1
1,[DEBUG],NFS READDIR fileHandle: /user/data cookie: 12345 count: 1024 client: 192.168.1.100,bc23bc01,NFS READDIR fileHandle: <*> cookie: <*> count: <*> client: <*>.<*>.<*>.<*>,"['/user/data', '12345', '1024', '192', '168.1.100']",07ef5dce_1
1,[INFO],Retry cache on namenode is enabled,fe758f18,Retry cache on namenode is <*>,['enabled'],a9f6d309_1
2,[INFO],Retry cache will use 0.2 of total heap and retry cache entry expiry time is 600000 millis,c3822603,Retry cache will use <*>.<*> of total heap and retry cache entry expiry time is <*> millis,"['0.2', '600000']",a9f6d309_1
3,[INFO],Retry cache on namenode is disabled,fe758f18,Retry cache on namenode is <*>,['disabled'],a9f6d309_1
1,[INFO],JournalNodeRpcServer initialized successfully,6c956cc3,JournalNodeRpcServer initialized successfully,[],fe354980_1
2,[INFO],Received journal request for block 1024 at offset 0,5c46ceca,Received journal request for block <*> at offset <*>,"['1024', '0']",fe354980_1
3,[INFO],Successfully wrote journal entry for block 1024,2e66c984,Successfully wrote journal entry for block <*>,['1024'],fe354980_1
4,[INFO],JournalNodeRpcServer completed request successfully,13536f9d,JournalNodeRpcServer completed request successfully,[],fe354980_1
1,[INFO],Purging logs older than 1001,b8738473,Purging logs older than <*>,['1001'],bf393a4d_1
2,[INFO],Marking stale logs for transaction ID 1001,e736bf3c,Marking stale logs for transaction ID <*>,['1001'],bf393a4d_1
1,[INFO],Replaced URI prefix with webhdfs://namenode01:50070,f7265474,Replaced URI prefix with webhdfs:<*><*>:<*>,"['//namenode01', '50070']",56e4ab07_1
2,[INFO],Initialized WebHdfsHandler for webhdfs://namenode01:50070,47bf85a3,Initialized WebHdfsHandler for webhdfs:<*><*>:<*>,"['//namenode01', '50070']",56e4ab07_1
3,[INFO],Channel read operation completed successfully,5bdf8e51,Channel read operation completed successfully,[],56e4ab07_1
1,[ERROR],"Invalid number of arguments provided. Expected 3, got 2.",d4a564af,"Invalid number of arguments provided. Expected <*>, got <*>.","['3', '2']",03d81bc6_1
2,[ERROR],File system is not an instance of DistributedFileSystem.,1edfc032,File system is not an instance of DistributedFileSystem.,[],03d81bc6_1
3,[INFO],Successfully initialized FileSystem for URI: hdfs://namenode:8020,dfdcfa88,Successfully initialized FileSystem for URI: hdfs:<*>:<*>,['//namenode:8020'],03d81bc6_1
4,[ERROR],IOException occurred while processing file: /user/data,e9c882b8,IOException occurred while processing file: <*>,['/user/data'],03d81bc6_1
5,[ERROR],Stack trace: java.io.IOException: File not found,ace40c47,Stack trace: java.io.IOException: File not found,[],03d81bc6_1
6,[INFO],Successfully initialized FileSystem for URI: hdfs://namenode:8020,dfdcfa88,Successfully initialized FileSystem for URI: hdfs:<*>:<*>,['//namenode:8020'],03d81bc6_1
7,[INFO],File processing completed successfully.,224e542e,File processing completed successfully.,[],03d81bc6_1
1,[DEBUG],"Re-scanned block block_12345, result is SUCCESS",3a5b442b,"Re-scanned block block_<*>, result is SUCCESS",['12345'],c06f48e6_1
2,[INFO],Caught InterruptedException while scheduling replication work for mis-replicated blocks,2e287b38,Caught InterruptedException while scheduling replication work for mis-replicated blocks,[],c06f48e6_1
1,[INFO],Removing zone zone_01 from re-encryption.,87d1f836,Removing zone zone_<*> from re-encryption.,['01'],4a888ed1_1
1,[ERROR],The quota system is disabled in Router.,fa62363a,The quota system is disabled in Router.,[],8ea40681_1
2,[ERROR],Permission denied: hadoop_user is not allowed to change quota of /user/data,1344d6a1,Permission denied: hadoop_user is not allowed to change quota of <*>,['/user/data'],8ea40681_1
